CMDLINE /opt/anaconda3/bin/python A2E5.py
MEM 0.011719 1644651765.9736
MEM 14.003906 1644651766.0759
MEM 23.687500 1644651766.1771
MEM 34.066406 1644651766.2823
MEM 45.562500 1644651766.3875
MEM 56.847656 1644651766.4885
MEM 59.699219 1644651766.5920
MEM 73.503906 1644651766.6966
MEM 80.656250 1644651766.8018
MEM 80.656250 1644651766.9069
MEM 80.656250 1644651767.0121
MEM 80.656250 1644651767.1131
MEM 80.656250 1644651767.2149
MEM 80.656250 1644651767.3163
MEM 80.656250 1644651767.4198
MEM 80.656250 1644651767.5202
MEM 80.656250 1644651767.6253
MEM 80.656250 1644651767.7305
MEM 80.656250 1644651767.8376
MEM 80.656250 1644651767.9393
MEM 80.656250 1644651768.0421
MEM 80.656250 1644651768.1445
MEM 80.656250 1644651768.2455
MEM 80.656250 1644651768.3465
MEM 80.656250 1644651768.4490
MEM 80.656250 1644651768.5542
MEM 80.656250 1644651768.6546
MEM 80.656250 1644651768.7574
MEM 80.656250 1644651768.8604
MEM 80.656250 1644651768.9614
MEM 80.656250 1644651769.0625
MEM 80.656250 1644651769.1635
MEM 80.656250 1644651769.2640
MEM 80.656250 1644651769.3691
MEM 80.656250 1644651769.4743
MEM 80.656250 1644651769.5796
MEM 80.656250 1644651769.6805
MEM 80.656250 1644651769.7835
MEM 80.656250 1644651769.8886
MEM 80.656250 1644651769.9914
MEM 80.656250 1644651770.0948
MEM 80.656250 1644651770.2000
MEM 80.656250 1644651770.3020
MEM 80.656250 1644651770.4072
MEM 80.656250 1644651770.5096
MEM 80.656250 1644651770.6102
MEM 80.656250 1644651770.7136
MEM 80.656250 1644651770.8188
MEM 80.656250 1644651770.9208
MEM 80.656250 1644651771.0256
MEM 80.656250 1644651771.1308
FUNC __main__.DFT_N_1024 80.6367 1644651766.7906 80.7266 1644651773.5770 0
MEM 80.656250 1644651771.2371
MEM 80.656250 1644651771.3422
MEM 80.656250 1644651771.4457
MEM 80.656250 1644651771.5509
MEM 80.656250 1644651771.6511
MEM 80.656250 1644651771.7563
MEM 80.656250 1644651771.8568
MEM 80.656250 1644651771.9602
MEM 80.656250 1644651772.0607
MEM 80.656250 1644651772.1659
MEM 80.656250 1644651772.2676
MEM 80.656250 1644651772.3728
MEM 80.656250 1644651772.4780
MEM 80.656250 1644651772.5818
MEM 80.656250 1644651772.6859
MEM 80.656250 1644651772.7911
MEM 80.656250 1644651772.8934
MEM 80.656250 1644651772.9943
MEM 80.656250 1644651773.0949
MEM 80.656250 1644651773.1981
MEM 80.656250 1644651773.3033
MEM 80.656250 1644651773.4085
MEM 80.656250 1644651773.5136
MEM 80.742188 1644651773.6156
